Checking model setup.....Please wait                                                                                                                                                                                                                            
Initializing.....Please wait                                                                                                                                                                                                                                    
Finished model setup.....                                                                                                                                                                                                                                       
Cycle:        0, Time:  0.000E+00s, Progress:   0.00%, Time Inc.: 2.628E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: -         
Cycle:        1, Time:  2.891E-08s, Progress:   0.00%, Time Inc.: 2.891E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: -         
Cycle:        2, Time:  6.071E-08s, Progress:   0.01%, Time Inc.: 3.180E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 18s       
Cycle:        3, Time:  9.569E-08s, Progress:   0.01%, Time Inc.: 3.498E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 11s       
Cycle:        4, Time:  1.342E-07s, Progress:   0.01%, Time Inc.: 3.848E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 8s        
Cycle:        5, Time:  1.765E-07s, Progress:   0.02%, Time Inc.: 4.233E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 12s       
Cycle:        6, Time:  2.231E-07s, Progress:   0.02%, Time Inc.: 4.656E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 10s       
Cycle:        7, Time:  2.743E-07s, Progress:   0.02%, Time Inc.: 5.122E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 8s        
Cycle:        8, Time:  3.268E-07s, Progress:   0.03%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 6s        
Cycle:        9, Time:  3.794E-07s, Progress:   0.03%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 5s        
Cycle:       10, Time:  4.320E-07s, Progress:   0.04%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 5s        
Cycle:       11, Time:  4.845E-07s, Progress:   0.04%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 6s        
Cycle:       12, Time:  5.371E-07s, Progress:   0.05%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 6s        
Cycle:       13, Time:  5.897E-07s, Progress:   0.05%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 5s        
Cycle:       14, Time:  6.422E-07s, Progress:   0.06%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 5s        
Cycle:       15, Time:  6.948E-07s, Progress:   0.06%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       16, Time:  7.474E-07s, Progress:   0.07%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       17, Time:  7.999E-07s, Progress:   0.07%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 5s        
Cycle:       18, Time:  8.525E-07s, Progress:   0.08%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 5s        
